"","x"
"1",14
"2",23
"3",21
"4",21
"5",14
"6",21
"7",20
"8",14
"9",14
"10",14
"11",14
"12",14
"13",14
"14",14
"15",14
"16",15
"17",13
"18",15
"19",14
"20",18
"21",16
"22",13
